0    [main] INFO  space.exploration.mars.rover.kernel.Rover  - Rover current position is = java.awt.Point[x=350,y=250]
1008 [main] INFO  space.exploration.mars.rover.sensor.Lidar  - Lidar initialized and ready!
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:host.name=10.36.201.55
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.version=1.8.0_121
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.vendor=Oracle Corporation
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.home=/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.class.path=/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/cldrdata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/jaccess.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/nashorn.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/jfxswt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/packager.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/lib/tools.jar:/Users/sanketkorgaonkar/Documents/workspace/space.exploration/mars.rover/target/classes:/Users/sanketkorgaonkar/.m2/repository/com/google/protobuf/protobuf-java/3.2.0/protobuf-java-3.2.0.jar:/Users/sanketkorgaonkar/.m2/repository/org/apache/kafka/kafka_2.10/0.9.0.1/kafka_2.10-0.9.0.1.jar:/Users/sanketkorgaonkar/.m2/repository/com/101tec/zkclient/0.7/zkclient-0.7.jar:/Users/sanketkorgaonkar/.m2/repository/org/slf4j/slf4j-api/1.6.1/slf4j-api-1.6.1.jar:/Users/sanketkorgaonkar/.m2/repository/log4j/log4j/1.2.15/log4j-1.2.15.jar:/Users/sanketkorgaonkar/.m2/repository/javax/mail/mail/1.4/mail-1.4.jar:/Users/sanketkorgaonkar/.m2/repository/javax/activation/activation/1.1/activation-1.1.jar:/Users/sanketkorgaonkar/.m2/repository/org/apache/kafka/kafka-clients/0.9.0.1/kafka-clients-0.9.0.1.jar:/Users/sanketkorgaonkar/.m2/repository/org/xerial/snappy/snappy-java/1.1.1.7/snappy-java-1.1.1.7.jar:/Users/sanketkorgaonkar/.m2/repository/net/jpountz/lz4/lz4/1.2.0/lz4-1.2.0.jar:/Users/sanketkorgaonkar/.m2/repository/com/yammer/metrics/metrics-core/2.2.0/metrics-core-2.2.0.jar:/Users/sanketkorgaonkar/.m2/repository/org/scala-lang/scala-library/2.10.5/scala-library-2.10.5.jar:/Users/sanketkorgaonkar/.m2/repository/net/sf/jopt-simple/jopt-simple/3.2/jopt-simple-3.2.jar:/Users/sanketkorgaonkar/.m2/repository/org/slf4j/slf4j-log4j12/1.7.6/slf4j-log4j12-1.7.6.jar:/Users/sanketkorgaonkar/.m2/repository/org/apache/zookeeper/zookeeper/3.4.6/zookeeper-3.4.6.jar:/Users/sanketkorgaonkar/.m2/repository/jline/jline/0.9.94/jline-0.9.94.jar:/Users/sanketkorgaonkar/.m2/repository/io/netty/netty/3.7.0.Final/netty-3.7.0.Final.jar:/Users/sanketkorgaonkar/.m2/repository/org/tensorflow/tensorflow/1.1.0/tensorflow-1.1.0.jar:/Users/sanketkorgaonkar/.m2/repository/org/tensorflow/libtensorflow/1.1.0/libtensorflow-1.1.0.jar:/Users/sanketkorgaonkar/.m2/repository/org/tensorflow/libtensorflow_jni/1.1.0/libtensorflow_jni-1.1.0.jar:/Applications/IntelliJ IDEA CE.app/Contents/lib/idea_rt.jar
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.library.path=/Users/sanketkorgaonkar/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.io.tmpdir=/var/folders/5h/gwr26fh90zs2zgrhjqr0pm1r0000gn/T/
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.compiler=<NA>
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:os.name=Mac OS X
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:os.arch=x86_64
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:os.version=10.12.4
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:user.name=sanketkorgaonkar
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:user.home=/Users/sanketkorgaonkar
15718 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:user.dir=/Users/sanketkorgaonkar/Documents/workspace/space.exploration/mars.rover
15719 [main] INFO  org.apache.zookeeper.ZooKeeper  - Initiating client connection, connectString=localhost:2181 sessionTimeout=6000 watcher=org.I0Itec.zkclient.ZkClient@1d119efb
15740 [main] INFO  org.I0Itec.zkclient.ZkClient  - Waiting for keeper state SyncConnected
15744 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn  - Opening socket connection to server localhost/0:0:0:0:0:0:0:1:2181. Will not attempt to authenticate using SASL (unknown error)
15788 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn  - Socket connection established to localhost/0:0:0:0:0:0:0:1:2181, initiating session
15801 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn  - Session establishment complete on server localhost/0:0:0:0:0:0:0:1:2181, sessionid = 0x15c833c58bf003a, negotiated timeout = 6000
15803 [main-EventThread] INFO  org.I0Itec.zkclient.ZkClient  - zookeeper state changed (SyncConnected)
15812 [main] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e], starting auto committer every 60000 ms
15833 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e], begin registering consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e in ZK
15856 [Thread-2] INFO  kafka.utils.ZKCheckedEphemeral  - Creating /consumers/space.exploration.mars.rover/ids/space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e (is it secure? false)
15870 [Thread-2] INFO  kafka.utils.ZKCheckedEphemeral  - Result of znode creation is: OK
15871 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e], end registering consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e in ZK
15874 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e_watcher_executor] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e], starting watcher executor thread for consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e
15890 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e], begin rebalancing consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e try #0
15979 [Thread-2] INFO  kafka.consumer.ConsumerFetcherManager  - [ConsumerFetcherManager-1496934972690] Stopping leader finder thread
15979 [Thread-2] INFO  kafka.consumer.ConsumerFetcherManager  - [ConsumerFetcherManager-1496934972690] Stopping all fetchers
15980 [Thread-2] INFO  kafka.consumer.ConsumerFetcherManager  - [ConsumerFetcherManager-1496934972690] All connections stopped
15980 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e], Cleared all relevant queues for this fetcher
15981 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e], Cleared the data chunks in all the consumer message iterators
15981 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e], Committing all offsets after clearing the fetcher queues
15984 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e], Releasing partition ownership
16005 [Thread-2] INFO  kafka.consumer.RangeAssignor  - Consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e rebalancing the following partitions: ArrayBuffer(0) for topic secure_com_from_earth_channel_3 with consumers: List(space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-0)
16006 [Thread-2] INFO  kafka.consumer.RangeAssignor  - space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-0 attempting to claim partition 0
16032 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e], space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-0 successfully owned partition 0 for topic secure_com_from_earth_channel_3
16049 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e], Consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e selected partitions : secure_com_from_earth_channel_3:0: fetched offset = 320: consumed offset = 320
16050 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-leader-finder-thread] INFO  kafka.consumer.ConsumerFetcherManager$LeaderFinderThread  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-leader-finder-thread], Starting 
16051 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e], end rebalancing consumer space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e try #0
16060 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-leader-finder-thread] INFO  kafka.utils.VerifiableProperties  - Verifying properties
16060 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-leader-finder-thread] INFO  kafka.utils.VerifiableProperties  - Property client.id is overridden to space.exploration.mars.rover
16060 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-leader-finder-thread] INFO  kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to 10.36.201.55:9092
16060 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-leader-finder-thread] INFO  kafka.utils.VerifiableProperties  - Property request.timeout.ms is overridden to 30000
16076 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-leader-finder-thread] INFO  kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,10.36.201.55,9092) with correlation id 0 for 1 topic(s) Set(secure_com_from_earth_channel_3)
16086 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-leader-finder-thread] INFO  kafka.producer.SyncProducer  - Connected to 10.36.201.55:9092 for producing
16109 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-leader-finder-thread] INFO  kafka.producer.SyncProducer  - Disconnecting from 10.36.201.55:9092
16151 [ConsumerFetcherThread-space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-0-0] INFO  kafka.consumer.ConsumerFetcherThread  - [ConsumerFetcherThread-space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-0-0], Starting 
16154 [space.exploration.mars.rover_Sankets-MacBook-Pro.local-1496934967564-45c1277e-leader-finder-thread] INFO  kafka.consumer.ConsumerFetcherManager  - [ConsumerFetcherManager-1496934972690] Added fetcher for partitions ArrayBuffer([[secure_com_from_earth_channel_3,0], initOffset 320 to broker BrokerEndPoint(0,10.36.201.55,9092)] )
16817 [main] INFO  space.exploration.mars.rover.communication.Radio  - Radio configured:: 
metadata.broker.list::localhost:9092
source.topic::secure_com_from_earth_channel_3
auto.offset.reset::largest
group.id::space.exploration.mars.rover
destination.topic::secure_com_to_earth_channel_3
zookeeper.connect::localhost:2181
17821 [main] INFO  space.exploration.mars.rover.sensor.Radar  - Radar configured:: 
